Title,Description,label
Spicy Vegetable and Paneer Tart,Lovely spicy tart made with paneer cheese,indian
Indian dal with spinach,This is a real comfort food for me It's highly nutritious and my kids love it served with rice and ghee The spinach adds texture and essential nutrients,indian
Coconut sevai (Rice noodles),"This is one of my favourite easy-to-make Indian recipes Although I try to make it the best as I can, my gran is THE BEST at this the smell of which reminds me of my school days",indian
Slow cooker chicken biryani,This is a variation on two of my favourite biryani recipes I start everything off in a pan but like to finish it off in a slow cooker so the rice is tender The end result is packed full of flavour and can be as spicy as you like ,indian
Dhokla,hmmits one of the most famouscommon accompaniments in most gujrati householdsthe recipe is a tried and tested oneand seems to have worked for noviceand pros have a go,indian
BBQ tandoori chicken,"Delicious, succulent tandoori chicken Cook on the BBQ or even better, if you have a clay oven, use that for a truly authentic taste",indian
Chettinad Chicken,"I love Chettinad chicken In fact, I love all Chettinad style food The gravy in this Chettinad chicken recipe is very peppery and flavourful This curry goes very well with plain rice and papadum on the side",indian
South Indian lentil kootu,A very South Indian dish that is quick to make and easy on the stomach,indian
Indian peppers,"A quick and perfectly spiced Indian dish with a colourful combination of peppers Urad dal, also called black gram, can be found in Asian markets, but can be left out if you can't find them",indian
Curried egg brunch toastie,"Very simple curried egg served on toasted ciabatta Nice brunch alternative You can garnish with chopped fresh basil or parsley, if desired",indian
Kashmiri lamb korma,Cubes of lamb are simmered in a curry and coconut milk-based sauce with potatoes and chickpeas in this Kashmiri lamb korma Serve with jasmine rice and mango chutney,indian
Indian tamarind sauce,"Make your very own tamarind sauce for dipping your favourite Indian snacks, such as samosas, pakoras and onion bhaji",indian
Baingan bharta,"If you love aubergine, you have to make this quick baingan bharta at home to serve alongside your favourite curry, or as part of an Indian vegetarian spread This Punjabi speciality is a favourite way to enjoy aubergine",indian
Prawn curry in naan bread,"An extremely scrummy ""sandwich"", made by wrapping warm naan bread around salad and a coconut prawn curry You can substitute any other meat for the prawns, if you wish",indian
Aloo shimla mirch (Indian potatoes and peppers),This dry curry is a vegetarian delight Potatoes combine with green pepper and an array of aromatic Indian spices Serves four as a side or two as a vegan main with roti or naan,indian
Cornmeal rotis,"These gluten free cornmeal rotis are delicious for those on a wheat free diet and everyone, else, too They just happen to be gluten free, in fact, and are a Punjabi specialty in winter, called Makke ki Roti",indian
Murgh Makhani (Butter Chicken),"This popular Indian dish is easy to make and tastes fab Chicken is simmered in a mild, but creamy curry sauce Serve with naan, roti, parathas and/or rice",indian
Mango mint lassi,It's a great take on the famous Mango Lassi that you tend to see at various Indian restaurants because it takes the flavour to a higher and much more complex level,indian
Ras malai,Ras Malai consists of cheese dumplings in cream sauce This is a popular Indian dessert and takes a long time to prepare the traditional way I came up with some shortcuts and ended up with this recipe which tastes ,indian
Naan bread recipe,"Naan is a leavened oven baked Indian flat bread popular in India as well as whole world We go to any Indian restaurant and look at menu, we find Naan mentioned where all flat breads are listed in menu It is a perfect ",indian
Beef curry with pea omelette,"Spicy beef curry served with a pea and spring onion omelette, turmeric rice and garnished with refreshing tomato and cucumber",indian
Rajma,Enjoy this Indian recipe for kidney beans and serve with jeera (cumin) rice,indian
Indian cottage cheese cake,"This Indian cake is made with fresh cottage cheese, semolina and ghee The addition of raisins and nuts add interest A famous cake from the state of Orissa",indian
Steamed curried pork dumplings,"These dumplings are a fusion of Indian and Chinese cuisines The dumplings are similar to that from China, yet the flavours and spices inside are influenced from India All in all, a fantastic steamed dumplng",indian
Authentic fish pakora,"Chunky white fish marinated in lime, ginger and garlic, coated in a spiced gram flour batter then fried until golden I do like fish, but I wouldn't want it every day Then again, it is low in fat and it's high in protein - so I've ",indian
Keralan baked fish,My grandmother taught me this recipe for baked fish with a spicy tomato sauce It is really yummy Great served with basmati rice,indian
The Maharajah's mulligatawny,"I first cooked this under instruction in a 5-star hotel in India, where it was one of the best sellers The curry paste can also be used in other Indian dishes It's the perfect soup for the cold winter months",indian
Best chicken curry,I saw this recipe a few years ago and have been doing this chicken curry at least once a week It is the most requested meal from family and friends Now I want to share this recipe with you guys,indian
Rogan josh,"This is my take on a warming Kashmiri style rogan josh curry that you might get in a classic British curry house Mine is less brightly red, but has a richer flavour, brought out by cooking the meat with bones to draw ",indian
Besan (gram flour) halwa,"If you like the flavour of besan (chickpea flour) in sweets, you will love this halwa I often make this halwa instead of 'Besan Ladoo' or 'Mysore Pak' My kids gobble it up even before it has a chance to cool down",indian
Chicken korma tagine,"Use a tagine to create a succulent and flavourful chicken korma curry The steam held in the tagine means that the chicken remains moist and tender, just as it should be Although traditionally used for Moroccan ",indian
Milk Sweet - Paalu Mithai,Mithai is an Indian-type of confectionary This version is made by boiling milk with sugar and semolina until thick The resulting product is deliciously sweet and creamy,indian
Indian chicken curry with peppers,"I created this recipe when I needed use up some peppers and I felt like chicken curry It's a dry, spicy curry and is superb with rice and flat bread, such as paratha",indian
Chai latte,"This is a cheat's chai tea - rather than making the tea and spice blend yourself, use your favourite brand of tea and then embellish it a little",indian
Tofu vindaloo,This is an easy vegetarian tofu vindaloo Serve with basmati rice,indian
Murgh makhani with lamb,This is the same sauce you would make for butter chicken but this recipe uses lamb It's mild as written but you can adjust the amount of spices to suit the level of spice your family likes best Delicious served with ,indian
Indian Bread Pudding,"This is a well known Hyderabadi dessert It's made by soaking fried bread and nuts with milk, sugar and cardamom It's very simple and goes down well at dinner parties It's best eaten chilled",indian
Quick and easy Indian-style okra,This is a quick variation of an Indian okra dish that my mother used to make My 3 year old daughter simply loves this dish It can be spiced up to suit your palate Serve with Indian rotis or pitta and yogurt for a quick ,indian
Indian mango cream,"Perfect served as a refreshing dessert after a hot and spicy Indian meal, this mango cream is cool, fruity and delicious, not to mention easy to make",indian
Nimmakaya pulihora (South Indian lemon rice),Lemon rice is a South Indian favourite and a delicious change from the norm Feel free to serve it with plain yogurt You can also add 1 teaspoon sugar for a sweet-salty taste,indian
Indian mattar paneer,"An Indian dish with petits pois and paneer, this recipe is also vegetarian If you want a vegan version, firm tofu makes a good substitute for the paneer",indian
Cumin potatoes (Jeera potatoes),"I love making this dish, it’s so easy and flavoursome It can be made in very little time, and also a good way to use leftover boiled potatoes The fried whole cumin seeds have a unique slightly nutty flavour I like ",indian
Chicken and goats' yoghurt tikka kebabs,"A delicious summery meal using St Helen's Farm goats' milk products Chicken is marinated in a spiced goats' yoghurt, grilled or barbecued, and served with a goats' yoghurt cucumber mint sauce",indian
Spiced aubergine Indian style,"This simple recipe combines the traditional Indian flavours of aubergine, tomatoes, onions and coriander This is excellent served with rice and dal",indian
Highly addictive Indian chickpea curry,This recipe makes a delicious chickpea curry There are quite a lot of ingredients here but I highly recommend giving it a try This one always goes down well with guests If you like it a bit hotter just add a couple ,indian
Goan fish curry,A simple but flavourful fish curry is your answer to curry night in a flash This authentic fish curry from Goa includes a homemade coconut-based curry paste,indian
Badam (almond) sherbet,"A traditional Indian drink/dessert Surprisingly refreshing but rich, this has a memorable taste It can be served warm in winter, or over ice in summer",indian
Sweet beef curry,This curry I came up with whilst playing around with a few different recipes It's got a sweet twang to it and tastes delicious,indian
Tomato and cucumber raita,"A tasty accompaniment to Indian curries or a cool starter with naan bread Yoghurt, tomatoes and cucumber seasoned with cumin, salt and fresh coriander",indian
Indian spiced chicken with raita and tomato salsa,This fabulous Indian tikka masala-spiced chicken dish is served with a cool and refreshing raita and a colourful salsa,indian
Indian-Style Salmon,"This is a great recipe for using tinned salmon; anything but boring Aromatic Indian spices combine with chilli, ginger, curry leave, tomato and coriander to make a lovely dish Serve with rice",indian
Masala Chai,Enjoy this warming and aromatic traditional Indian tea anytime,indian
Curried lamb chops,If you love lamb chops and curry - you will love this dish It's made in the pressure cooker for maximum convenience Coconut adds a lovely touch of sweetness,indian
Tehri (Vegetable biryani),"This bright yellow vegetarian biryani, known as tehri, is full of deliciously soft vegetables and fragrant long-grain rice cooked with Indian spices",indian
Mangalore mutton curry,"I first tried this curry in a restaurant in Bangalore I loved it so much that I asked all my friends if they knew anyone from Mangalore who could share the recipe with me Finally, one of my friends came through ",indian
Kurma chicken curry,"I learnt this from my Mother in law She is a good cook, especially anything that is spicy or curries",indian
Black lentil dal,This dal uses split black lentils ans is somewhat thicker and heavier than other dals It's perfect when eaten on a very cold day Serve with chapattis and a side salad,indian
Fragrant basmati rice,"Basmati cooks to perfect, separate, fluffy grains and is considered by many to be the finest rice Here it is subtly scented and coloured with saffron, cinnamon and ginger The sweet-sharp flavour of ",indian
Chicken dopiaza,It's a very famous Indian chicken recipe which is made with double the amount of onions and a nice mix of other spices,indian
Kheer (Indian rice pudding),"Recipe for a beautiful Indian kheer, the fragrant rice pudding dessert Delicate spices like cardamom and saffron flavour this pudding along with almonds and coconut",indian
Aaku Pappu (Dal with Greens),This is a classic Andhra preparation Typical greens to use are thotakoora (amaranth) and spinach (palak koora) Serve with rice and Majjiga Pulusu (buttermilk pulusu) or Menthi Majjiga (buttermilk with fenugreek),indian
Mughal lamb pilau rice,"A traditional lamb pilau rice dish from India, which is always a keen favourite, made during Islamic celebrations and holy days such as Eid and Ramadan It's a very spicy, yet subtle dish, mouthwateringly tasty and ",indian
Ginger chai tea,"Be transported to India with this warming, aromatic chai tea recipe Chai recipes vary greatly, and families often make their own masalas to flavour their chai This recipe features ginger, and to it you could add a few ",indian
Aloo palak,"A vegetarian Indian side dish of potatoes with spinach, gently cooked with an array of aromatic spices",indian
Chickpea raita,"This is a very versatile raita, that can be used as a condiment, eaten along side rice dishes and curries Can also be eaten on its own as a light lunch, along with samosas or pakoras This recipe uses low fat yoghurt ",indian
Coconut-coriander chutney,"Simple preparation, incredible flavour Takes only minutes to prepare Serve this fresh chutney with any curry",indian
Chicken Mulligatawny Soup,"This Indian inspired soup is mildly curried Chicken and rice is heated in a pureed vegetable soup base It's the perfect soup that will keep you warm throughout the winter Serve with naan bread, if desired",indian
Clean chicken korma curry,This clean chicken korma is healthy and tasty and ready in about 45 minutes Delicious served with naan bread and poppadoms,indian
Charred Aubergine Raita,"A very nice and slightly spicy raita, with a delectable smoky flavour from the chargrilled aubergine You can eat it on top of rice, with chapati or with your favourite curry",indian
Prawns in coconut curry,"This mild Indian curry is delicious A homemade garam masala mix is made, which is used as the spice base for this curry You can use this recipe and substitute other meat into the dish, if you prefer Serve with ",indian
Indian Hot Yogurt Soup - Gujarati Kadhi,"This authentic Gujarati style kadhi is a little more watery than the Punjabi version I prefer this version, with the perfect balance of sweet and sour This is great to eat with plain rice or khichdi (rice and lentils)",indian
Goa chicken masala curry,An Indian red masala curry recipe from Goa My mother used to make for special occasions It involves making your own masala paste but it's worth it,indian
Barbecued tandoori chicken thighs,"Tandoori chicken is traditionally cooked in a clay oven, called a tandoor As most of us don't have a tandoor, barbecuing the chicken is the next best thing",indian
Authentic chicken tikka masalsa,"Tender chicken cooked on a griddle, then finished in a delicious rich cream sauce made with spices and a cashew nut paste This dish is said to have originated in the Moti Mahal Hotel Restaurant in Delhi where the chefs ",indian
Indian butter chicken (Chicken Makhani),Chicken is simmered in a smooth and fragrant tomato-based sauce with cashews and Indian spices in this delicious chicken Makhani recipe Serve over warm basmati rice along with some naan bread,indian
Indian Crab Curry,"Whole crabs are cooked with a delicious mix of spices, red onions and sliced potatoes, then garnished with lemon and coriander Serve hot with freshly cooked rice",indian
Tofu keema curry,I based this delicious vegetarian tofu keema curry off my local Indian takeaway version Love serving it with naan bread and rice for a complete meal - yum,indian
Authentic lamb Madras,"A classic hot and tangy south Indian dish of toasted spices in a deep rich sauce Early restaurateurs had no way of communicating the scale of heat in a dish so an arbitrary scale was created - a korma is mild, a phall is ",indian
Paal paayasam (Keralan rice dessert),"For something that tastes yum, it's really easy to make This is a recipe for how to cook paal paayasam, a Keralan dessert Paayasam is a sweet dish made with rice, milk and sugar or jaggery It is usually served at feasts ",indian
Spiced naan,"This Indian stuffed naan bread is filled with a wonderful, spicy filling and is surprisingly easy to make",indian
Gujarati carrot and peanut salad,"Peanuts add a wonderful texture to the salad, while the chilli pepper adds a touch of heat",indian
Aloo matar rice,"A delicious use of leftover basmati rice, this fragrant Indian side dish can be an accompaniment to your favourite curry or can be enjoyed on its own with some raita or plain yoghurt",indian
Shami kebabs,"Shami kebab is a popular local variety of kebab from the Indian subcontinent It is part of Pakistani, Punjabi, Indian and Bangladeshi cuisines But originally it's from Iran Served with sweet chilli sauce ",indian
Keralan pumpkin curry,"A sweet, spicy and tart vegetarian curry featuring pumpkin, aromatic spices and a hint of tamarind Bring the flavours of Kerala to your kitchen with this easy and satisfying recipe",indian
Indian egg curry,"This vegetarian tomato and egg curry is flavoured with ginger, garlic, chilli, cumin and coriander It is an easy weeknight Indian meal that's ready in just over 30 minutes Serve hot with naan bread",indian
Roti canai/paratha (Indian pancake),This popular Indian pancake can be made as part of a meal or for a nice snack As kids we ate it sprinkled with sugar It's typically served with curry and sambal if you choose to spice it up,indian
Indian paneer makhani,Serve this tasty Indian paneer makhani dish over rice or with naan Feel free to add fresh herbs such as chopped coriander or substitute the paneer for tofu,indian
Tandoori salmon,"Change things up with this yummy and easy tandoori salmon recipe, made in minutes on the hob Serve with basmati rice and a veggie side dish as a main, or serve smaller portions for a starter",indian
Simple vegetable pakora,Crisp golden potato and onion bites cooked with a selection of spices in a gram flour batter and then deep fried This is the basic pakora recipe which is a great place to start Remember to season to your taste with ,indian
Easy creamy chicken curry,Creamy coconut milk and chicken with an array of Indian curry spices Lovely served over rice or to use as a filling for wraps or pitta bread,indian
Aubergine chutney,This aubergine chutney makes a great accompaniment to any curry,indian
Balaji Balachander's chicken biryani,"Pan-Indian restaurant and lounge, Carom is delighted to announce a monthly Curry Club for guests who want to learn how to make delicious curry at home, and enjoy regional Indian cooking The Chicken Biryani ",indian
Bangalore Poussin,"Delicious over couscous or rice I use a seasoned casserole, but any roasting tin will do Given to me with permission by family friend",indian
Cardamom lassi,"Here is a recipe for a sweet lassi - fragrant with cardamom As with all lassis, it's delicious served very cold",indian
Simple coriander chutney,"Enjoy with samosas, crisps or as a sandwich spread",indian
Mussels in Korma Sauce,This is a great way of preparing mussels They are simmered with sweet potato and mange-tout in a creamy korma sauce Serve over freshly cooked rice,indian
Kichiri,"I love to cook Indian food, because I am vegetarian and there are so many great vegetarian dishes This is a version of kichiri with yellow lentils",indian
Carrot gajar halwa,"This dessert is to die for It can be made in many ways, what I am going to share is traditional slow cooked method of making gajar halwa YUM my mouth is watering even when I am writing about it The most ",indian
Aloo methi,"A favourite Indian side dish, aloo methi is a combination of potato and fenugreek leaves Look for the methi in larger supermarkets or in Asian shops Once you have the dried methi to hand, it'll be easy to whip up ",indian
Indian quinoa,Here's an adapted Indian rice recipe using quinoa I found that the flavours really blend well and adds another dimension to quinoa,indian
Vegetable pakora,Everyone knows how dangerously moreish pakoras are Vegetables are dredged in chickpea flour and fried till golden What's not to love,indian
Indian beef vindaloo,"This make-ahead vindaloo recipe is a guaranteed crowd pleaser It can also be made with chicken, pork or lamb",indian
Tandoori stuffed cauliflower,"What do we do with a vegetable (cauliflower in this case) available all through the year We cook it so often (as parathas,bhajis, dumplings) that it starts boring us Here is a makeover for this vegetable that makes it ",indian
Egg bhurji (Indian scrambled eggs),"Egg bhurji, scrambled eggs seasoned with garam masala, turmeric and coriander, is an Indian-inspired way to eat eggs for breakfast Eat with naan or pitta bread",indian
Easy chicken Madras,"Instead of ordering a takeaway, try this easy recipe for Indian chicken curry, made with spicy hot Madras curry powder, tomatoes and onions",indian
Lamb bhuna gosht,The cooking of the lamb in a delicious blend of spices and its own juices is what makes this dish special Serve over rice or as part of a larger Indian meal,indian
Lightning fast raita,Whip up an authentic Indian cucumber raita in less time than it takes to place a takeaway order,indian
Indian tomato rice,"This recipe takes cold pre-cooked rice, which is stir-fried with a homemade spice mix, chillies and tomatoes The result is a delicious tomato rice dish Serve with poppadoms and yoghurt",indian
Chicken and cauliflower korma,"This is a mild creamy curry with loads of flavour Perfect as a low-carb meal on its own, or serve on a bed of brown rice",indian
Spicy Indian sabzi,"A nice Indian recipe for sabzi, meaning vegetables, made with traditional spices in the pressure cooker This side dish is colourful and fragrant",indian
Cumin lassi,A wonderful savoury lassi to accompany your favourite curry,indian
Sooji Upma (Cream of Wheat),This recipe is commonly found as a side dish on Southern Indian tables It's a spicy mixture of lentils and semolina The texture is extremely soft and spongy in texture,indian
Masala tea,"Deliciously fragrant, sweet and tasty Indian chai",indian
Courgette masala,This savoury Indian recipe for courgettes with curry spices can be served as a vegan main dish or as a side dish Some homemade naan would be nice to serve alongside,indian
Vindaloo lamb shanks,"This is a unique take on vindaloo, with rich depth of flavour The vinegar adds the same bite that you expect to find in a regular vindaloo, but with the marinated and roasted shanks, the flavours are intensified to ",indian
Paneer butter curry,"An indulgent vegetarian curry from the Punjab in North India Anyone who loves butter chicken will love this creamy Indian curry, so it'll please the vegetarians and omnivores alike",indian
Indian chicken curry with almonds and pistachios,An aromatic but mild Indian chicken curry with a creamy sauce The yoghurt becomes much thicker if you strain overnight Best served over rice,indian
Indian-style chard,"A quick and tasty way to add some green goodness to curry night Swiss chard or kale is sauteed with Indian spices, green peppers and garlic",indian
Festive chai tea concentrate,"Sipping a restorative cup of masala chai in India is a daily rite of passage The roadsides are dotted with chai wallahs who serve the tea boiled up with spices, sugar and milk Despite 'chai' merely meaning 'tea' in ",indian
Tandoori paneer tikka masala ,"Paneer tikka masala is a favourite dish both in North and South India although the dish itself may have originated in North India Traditionally, paneer is roasted in a tandoor or a clay oven, but here you use your ",indian
Mango chutney with ginger,Fresh ginger and mango make a lovely combo for chutney This chutney keeps for a few months in tightly sealed jars,indian
Egg and potato curry,This egg and potato curry is from the northern region of India and is very similar to a curry that used to be served to us by our Bengali neighbours,indian
Mutter paneer,This is a great paneer (an Indian style of cheese) and fresh pea curry It is all made from scratch including toasting and grinding the cumin yourself Serve with basmati rice,indian
Indian soya pakoras,A vegetarian and vegan Indian recipe for crispy soya pakoras Serve with a coriander chutney or tamarind sauce,indian
Black eyed bean curry,"This black eyed bean dish is a light and comforting meal in itself, great for those cold winter days It's a one pot dish and can be eaten with chapatis or rice, or served with any number of other veg or meat dishes",indian
Biryani with marinated chicken,"Chicken marinated in yoghurt and rice scented with saffron, cardamom, cinnamon and cumin make this biryani full of flavour",indian
Olive and basil naan bread,"Makes four large naan bread Enjoy as part of a delicious Indian feast with curry, rice and and any other favourites",indian
Quick coriander chutney,"An ultra-easy and quick coriander chutney to serve with all of your favourite Indian snacks, like samosas, pakoras, kebabs and more",indian
Indian masala chai,"Cosy up to a mug of the classic masala chai Use loose-leaf black tea, such as Darjeeling, and full-fat milk for best results",indian
Kemma with peas,"Kemma sometimes known as kima or kheema is a traditional spicy Indian dish made of beef, curry powder and peas Serve with flatbread or use it to fill samosas",indian
Kerala-inspired chicken stew,"In this creamy, Indian-inspired stew, chicken is simmered with potato, carrot and plenty of fragrant spices for a warming weeknight meal",indian
Keralan fried fish,"Fish is a mainstay in Kerala and this is a common way to prepare it Use any firm fish here, such as tilapia, salmon, trout or basa Serve with steamed rice",indian
Punjabi olive samosa,This is a delicious vegetarian Indian recipe for samosas with a twist Serve as a starter to a tasty Indian feast,indian
Shalgam Masala (Spiced turnips),"This Indian dish is great way to spice up traditional mashed turnips This dish is great garnished with fresh coriander or parsley and served with basmati rice, or with naan bread The amount of chillies you use really ",indian
Biryani-style cauliflower rice,"Cauliflower rice is seasoned with garam masala, turmeric, cumin and coriander in this Indian-inspired gluten free dish",indian
Banana lassi,"A tasty alternative to the usual mango, this banana lassi is equally refreshing and easy to make year-round I ordered two in a restaurant in Udaipur because they were so good and because they had no mangos ",indian
Dudhi channa - Indian curried gourd with Bengal gram,"The first time I tried this curry was at a friend's house in Delhi I absolutely loved it It's simple and can be eaten as an everyday curry Serve it with plain rice and/or a flat bread, such as naan or roti",indian
Curd rice,"Curd rice, or yoghurt rice, is an Indian favourite This easy curd rice recipe is great served warm or cold and is perfect for using leftover rice from curry night",indian
Rajasthani roast rack of lamb with corn sauce recipe,"Searching for the ultimate Christmas party recipe this season Try spice fused Rajasthani roast rack of lamb with corn sauce, the Cinnamon Kitchen Style Searing meat and placing it on a reduced sauce is much ",indian
Raghavan's curry powder,"Try this easy homemade blend of spices in place of the supermarket curry powder It will give you a much fresher, brighter flavour in your dish",indian
Easy egg curry,"Make this aromatic, quick and easy curry with hard-boiled eggs the next time you're craving Indian or vegetarian food on a weeknight",indian
Carrot kheer,"Kheer is a South Asian pudding, often made with rice but here made with carrots The result is sweet and delicious, a great comfort pud",indian
Cardamom and almond kheer,"Kheer is rice pudding from India, a very popular dish for dessert Made usually with three ingredients - rice, sugar and milk - its flavour is enhanced by adding fruit, saffron, cardamom and almonds",indian
Salty cumin lassi,"The much-loved Indian lassi is actually most often savoury, not sweet This salty lassi is flavoured with the traditional cumin for a tasty and refreshing drink",indian
Raghavan's garam masala,Heat these easy-to-find ingredients together to make your own garam masala to use in curries and other Indian dishes,indian
Pomfret macher jhaal (Indian fish curry),"An easy fish curry recipe worth trying This spicy Bengali curry is made with silver pomfret, turmeric, mustard seeds and green chilli peppers is perfect for fans of fish and Indian flavours You can use sea bass if you ",indian
Olive chicken masala,Tender chicken breast is lovingly marinated in a delicious blend of yoghurt and spices before being simmered to perfection The result is a creamy and flavourful curry ideal for enjoying with rice and naan bread,indian
Greek yoghurt raita,"Dhay or raita is a great cooling agent and it goes really well with meat and potato curries in particular It can be made in various ways as some people will add cucumber, onions or tomatoes, however this is a ",indian
Instant Pot® Indian butter chicken,"Indian butter chicken is easy to make in an electric pressure cooker, such as Instant Pot® After an overnight marinade in yogurt and traditional spices, you can use an Instant Pot® to cook every step, from toasting ",indian
Turmerccino,"The name is our own but this warming hot milk and turmeric drink is a popular and ancient natural remedy enjoyed in Indian homes, especially before bedtime It is especially good when you have a sore throat or ",indian
Chapati (Roti),"Chapatis are eaten daily with most meals They are tastiest when cooked as the last part of meal preparation and eaten straight away, hot from the hob However, they can be made beforehand and can also be eaten ",indian
Homemade paneer cheese,Paneer is a white cheese originating in India It has a very mild flavour and is simple to prepare if you are new to cheesemaking You can eat it straight away or store in the fridge for up to two weeks,indian
Chai (Traditional Indian tea),Traditional Indian tea or 'chai' is something that I have been experimenting with in order to create a recipe that I love and can share I've taken a traditional recipe from my mum but adapted it to include non-dairy ,indian
Indian ven pongal,"Lentils and rice are seasoned with cumin seeds and curry leaves in this Indian dish called ven pongal, a quick and easy savoury breakfast",indian
Crispy fried bindi (Fried okra),This is a snack or starter that you don't see often Okra are often used in Indian cooking but usually as a curry Fried okra can be eaten as a snack or starter and served with a yogurt chutney or other dips and sauces ,indian
Basic curry powder,Curry powders vary greatly from region to region as the local population tends to add or subtract spices not to their liking or even available That said there is often some commonality between recipes in their base ,indian
Mint coriander chutney,This is a delicious chutney that can be enjoyed as a condiment or starter served with poppadoms Make this as close to serving as possible for best results,indian
Gajar ka halwa (Carrot halwa),"Try this recipe if you want to know how to make traditional Indian Gajar ka halwa, or Carrot halwa A lovely dessert anytime, I most recently made it for Diwali This is the 'old school' method that uses whole milk, not ",indian
Indian aubergine curry,"A spicy and tasty vegan and vegetarian aubergine curry Easy to make, you can have this ready in less than 45 minutes Serve with dal and basmati rice for a complete meal",indian
Spicy Indian pumpkin curry,"This is a popular vegetarian dish in Kerala, South India It's made during the festivals and is an extremely nutritious and tasty curry that's rich in antioxidants and vitamins What's vital to the dish, however, is the ",indian
Quick and easy prawn curry,This flavour packed curry sauce complements the prawns perfectly and it's a quick and easy meal Serve with hot cooked rice,indian
"Chicken curry with peppers, leek and mushrooms","This is an easy 'cheat' chicken curry that's packed with leek, peppers, mushrooms and onions so you shouldn't feel guilty about not making a curry paste from scratch Serve with rice",indian
Aviyal,"Aviyal is a south-Indian delicacy and seems like no two households make it the same Essentially, all the recipes use the same ingredients – vegetables, curd (yoghurt), coconut, spices – but the details and ",indian
Potato samosas,"Samosas taste best fresh from the pan but if you want to make them for a party, you can fry them ahead of time and briefly reheat them in your hot oven - just don't leave them too long, or else they will dry out",indian
Indian vegetable biryani,This tasty and attractive vegetable biryani is straight forward to make and delicious served as part of a larger Indian meal,indian
Indian chicken pasta,This is a quick and easy Indian-inspired chicken pasta dish that you can easily whip up if you are in a rush for dinner My kids love it,indian
Coconut and green chilli raita,"This isn't your typical raita, but is wonderful change from the norm Generally we make tomato raita to have with biryani, but I found this tasty and slightly different",indian
Indian palak paneer,Cubed paneer is cooked to perfection with fresh spinach and the perfect balance of spices Serve with some fluffy rice for a complete vegetarian meal,indian
Lamb korma (Kishmish badam korma),"A spicy but not hot, Indian lamb korma curry Serve with naan bread or plain basmati rice, an Indian-style vegetable dish and a salad of sliced onions and tomatoes for a luxurious Indian meal",indian
Chicken korma with green beans,"In an attempt to get my kids to eat their vegetables, I discovered that they seem to enjoy this mild korma curry with green beans Add some chilli paste if you prefer a spicier version",indian
Punjabi lamb korma with onion coriander salad,Lamb is simmered in a spiced yogurt-almond sauce and served alongside a fresh coriander and red onion salad in this mild Indian lamb korma recipe Serve with hot roti,indian
Easy raita,This creamy condiment made with plain yogurt goes perfectly with spicy dishes and takes just a few minutes to toss together Instead of chopped fresh fruit you can use a mixture of chopped cucumbers and tomatoes,indian
Spiced sweet potato dahl,"A delicious thick Indian lentil soup, with sweet potato and baby spinach leaves Delicious scooped up with naan bread",indian
Easy Indian chicken curry,"An easy Indian-style chicken curry made with prepared chicken breasts, onions, grated ginger, curry sauce, creamed coconut and chopped tomatoes",indian
Paneer tikka sandwich,"Paneer tikka sandwich is a popular afternoon snack in India that people like to have with hot or cold coffee It's simple and quick to make, and you can add other toppings such as red pepper or carrots",indian
Creamy chicken and carrot curry,"Using an Indian curry paste, cream, loads of carrots and a few tomatoes - this curry chicken is very quick to make any night of the week",indian
"Kachumber (Indian cucumber, radish and tomato salad)","This is such an easy salad to make It pairs well roti or daal In fact, it goes with every North Indian dish you can think of",indian
Nuvvu podi (Spicy sesame seed powder),This spicy Indian seasoning is made from toasted sesame seeds and dried red chilli peppers It takes some effort to grind it down with a mortar and pestle but it is definitely worth it This seasoning is great for rice It ,indian
Easy authentic masala chai,"Black tea is simmered with fragrant spices like ginger, cardamom and cloves in this quick and easy recipe for authentic masala chai",indian
Curried chicken with potatoes,A creamy Bengali inspired whole chicken dish with potatoes,indian
Iced chai latte,"Making your own iced chai latte is quick, easy and very budget friendly",indian
Fish curry Kodavas style,"Kodavas (Coorgs, in south-west Karnataka) in southwest India have their own cuisine This is an authentic fish curry Serve with rice, roti, or chapatti",indian
Spicy prawn masala,"Indian prawn masala is one of the most enjoyed and sought-after recipes It is usually served with rice, chapatti or naan You can either serve it ""dry"" or make extra sauce",indian
Aloor dum (Bengali potatoes),"Aloo dum also known as aloor dum or alur dom is a very popular dish from Bengal It can be eaten at breakfast with luchi/poori, or with pulao or rice at dinner or lunch",indian
Drumstick curry,Growing up as a child in India this inexpensive quick curry was my favourite dish,indian
Pundi palya (Dal with gongura leaves),"This North Karnataka dish, also called Gongura pappu, is make with gongura leaves (roselle leaves) and served like a dip with joladarotti or chapati You can substitute gongura leaves with fresh sorrel",indian
Bhindi kurkure (Indian fried okra),"Crispy fried okra in a spicy chickpea batter make a great vegan side, starter or snack",indian
Chicken mushroom curry,"This is a quick as a tasty chicken curry can get Use a good curry paste, large mushrooms and very fresh tomatoes Serve with lassi and naan",indian
Indian vegan pancakes,"An Indian sweet recipe for pancakes with no eggs, milk or any dairy hence ideal for vegans Serve with your favourite jam",indian
Prawn masala,"In India this prawn curry is made with a generous amount of chilli powder and fresh chillies To make it milder, adjust it to your personal taste",indian
Green banana pakoras,This is a recipe for green banana fritters in the traditional Maharashtrian style,indian
Punjabi kadhi,This is the Punjabi variation of the Indian sour yoghurt gravy called kadhi,indian
