Title,Description
"Saffron Rice with Raisins and Cashews","Basmati rice is simmered with clarified butter, cloves, raisins and cashews to create this…"
"Okra Fry","We love recipes that stretch our culinary horizons. We now know what asafetida…"
"Tandoori Grilled Chicken","Yogurt and tandoori spice are stirred together and used as a marinade and basting sauce for…"
"Charred Eggplant Raita","Whole eggplants are charred over an open flame to remove their skins, then mashed with…"
"Bangalore Cornish Hens","Halved Cornish game hens are baked with a multitude of vegetables and spices, making…"
"Indian Mustard Fish","A traditional Bengali dish. It is easy to make and usually prepared using hilsa fish. However…"
"Elijah's Phulourie","These savory fritters are made with split pea flour and a blend of mild spices. An East…"
"Exotic Indian Tangy Rice","A tangy rice dish made with tamarind and curry leaves has a slightly sour flavor. It is very easy…"
"Alu Baigan","Alu Baigan is a West Indian curry made with potato and eggplant which is served with roti…"
"Bhuna Gosht","Pan-frying a variety of spices with the lamb chops gives this curry dish a deep flavor."
"Beet and Yogurt Salad","This dish consists of sliced beets mixed with yogurt and seasoned with Indian spices. It can…"
"Easy Mango Lassi","This delicious mango and yogurt shake is great for extinguishing the fire in your mouth after…"
"Aloo Matar Paneer (Simmered Potatoes with Peas and Paneer)","An aromatic blend of spices are simmered with potatoes, peas, and paneer cheese in this…"
"Creamy Curried Root Vegetable Soup","Turnips, radishes, garlic, onion, potatoes, and carrots are pureed together in this creamy…"
"Sarson Ka Saag (Indian Mustard Greens)","When the farmer's markets or your garden are pumping out greens like there's no tomorrow,…"
"Akki Rotti","Green mung beans, soaked overnight, are mixed with rice flour, coconut, vegetables, and…"
"Spiced Chickpeas (Chole)","Garbanzo beans are simmered with onions and spices, then sprinkled with raw ginger and…"
"Nitya's Cauliflower","Cauliflower is sauteed with potatoes and a mix of spices to produce this delicious alternative…"
"Butternut Squash Coconut Curry","Butternut squash, simmered with curry spices and coconut milk, makes a tasty and easy…"
"Indian-Influenced Zucchini Onion Pepper Latkes","Made with grated zucchini instead of potato, these Indian-influenced latkes are flavored…"
"Dal Makhani (Butter Lentils)","Lentils are simmered with tomatoes and loads of spices in this thick and buttery dal makhani…"
"Banana Lassi","If you don't have any mango on hand, why not substitute in a banana to make a creamy…"
"Indian Spiced Chicken","This Indian-inspired slow cooker meal cooks chicken thighs with tomatoes, cauliflower,…"
"Spiced Turnips (Shalgam Masala)","Turnips are simmered in a spicy tomato-based sauce with Indian spices then coarsely…"
"The Maharajah's Mulligatawny","Fresh chile peppers bring the heat in this Indian lamb soup."
"Palak Paneer (Spinach Curry)","Store bought paneer cheese is served with a quick, spiced spinach sauce in this easy…"
"Easy Carrot Salad (Indian-Style)","Cilantro, peanuts, and lemon juice deliver flavor in this cold carrot salad you can have ready in…"
"Indian Curry Potato Fries","Potato cubes are fried in Indian-inspired spices for a perfect accompaniment to a curry dish.…"
"Chana Masala","This version of the Indian dish, chana masala, substitutes spinach for the traditional…"
"Tom's Mulligatawny Soup","Mulligatawny is an Indian-style soup. This recipe simmers chicken, apples, onion, carrots, bell…"
"Savory Lassi","This is an Indian-style yogurt lassi drink that's tangy, refreshing, subtly spiced with cumin…"
"Potato Cutlets","A mouthwatering appetizer of Indian origin, these tantalizing fried potato cutlets are…"
"Besan Ladoo","This sweet confection from India and Pakistan combines chickpea flour, coconut,…"
"Curried Chicken with Rice","Chutney provides a delicious shortcut in this lime-accented chicken and red bell pepper…"
"Gobi Masala (Cauliflower Curry)","Small florets are stirred into and combined with tamarind water, coconut milk, flour and chili…"
"Coconut Chutney","Fresh grated coconut and yogurt form the base of this tangy chutney from South India."
"Indian-Style Grilled Chicken Salad","Spicy, tandoori-spiced chicken breasts are grilled and served with an Italian-inspired salad."
"Indian Style Chicken with Apples","Chicken is served in a spicy yogurt sauce with apples, onion and red bell pepper. It tastes…"
"Fish in Ginger-Tamarind Sauce","Its a very simple and easy fish curry from Kerala, a southern state of India. The curry is made…"
"Lemon Lentil Rice","This is a complete meal with rice lentil and vegetables. This is my version of the South…"
"Cabbage, Tomato and Onion Salad","This cabbage and tomato salad resonates with the spicy, nutty and pungent flavors of Indian…"
"Mediterranean Yellow Rice and Vegetables","A colorful medley of instant brown rice with zucchini, pineapple, red and yellow peppers is…"
"Chicken Karhaai","Chicken is simmered with tomato and hot chili peppers for this popular Indian dish."
"Curried Mushroom Hot Pot","This steaming curried-mushroom soup with a touch of coconut and lemon warms you up on…"
"Potatoes in Spicy Peanut and Sesame Paste","Diced potatoes, onions, and tomato are cooked in a creamy peanut and sesame seed sauce to…"
"Faux Bombay Potatoes","Replace potatoes with turnips for a nice variation on an Indian side dish."
"Tandoori Chicken Salad","Tangy grilled chicken atop a bed of greens mixed with onions, raisins, almonds,…"
"Tandoori Chicken Skewers","Chicken breasts are marinated in a spiced yogurt sauce, then baked or grilled."
"Apricot Chutney","A sweet and spicy apricot chutney made with preserves has roasted garlic for depth of…"
"Frizzled Onions","These crispy fried onions taste like the onion rings from a can, but better! They're great…"
"Chickpea Coconut Salad","Garbanzo beans get a lift when tossed with grated coconut, fresh cilantro, and lemon…"
"Yogurt Rice","This cooling, flavorful Indian dish is perfect as an accompaniment to grilled meats."
"Sweet Corn Subji With Paneer and Cashew Nuts","Subji is an Indian dish that literally translates as \"vegetable dish\". The vegetable here is corn…"
"Chicken Chutney Sandwiches with Curry","This simple, tasty sandwich combines the great textures of whipped cream cheese, chicken,…"
"Cabbage Koora","This cabbage stir fry is seasoned with fresh green chile peppers, dried red chile peppers,…"
"Bengaladumpa Vepudu (Potato Stir-Fry)","Potatoes are stir-fried with a variety of spices in this vegetarian curry recipe."
"Aloo Palak","Spinach and potatoes are stir-fried in this simple vegetarian dish from India."
"Makhani Murgh (Butter Chicken)","Chicken in a spicy tomato cream sauce is the best way to describe this Indian restaurant…"
"Tamarind Sauce Fish Curry","This tangy fish curry is an authentic coastal Indian dish that is ready in less than an hour."
"Egg Bhurji","Egg bhurji, scrambled eggs seasoned with garam masala, turmeric, and coriander, is an…"
"Vegetable Biryani (Tehri)","This bright yellow vegetarian biryani (tehri) is full of deliciously soft vegetables and fragrant…"
"Curry Red Lentil Soup","Fresh vegetables and aromatic spices combine in this comforting red lentil soup that's ready…"
"Easy Vegetarian Kofta Curry","Make Indian kofta curry easy and vegetarian-friendly by using meatless vegetable…"
"Indian Chicken Korma in the Slow Cooker","Indian chicken korma is a mild, delicately fragrant curry in a rich and flavorful cream…"
"Tandoori Paneer Tikka Masala","Baked tandoori-style, these Indian tikka masala kebabs with paneer, peppers, and onion are…"
"Turmeric Golden Milk with Turmeric Paste","A bright golden turmeric paste is heated with almond milk, spices, and coconut oil to make…"
"Indian Tomato Rice","This tomato rice with onion, turmeric, and ginger is an Indian-inspired comfort food that…"
"Vegetarian Splendor Chickpea Curry","This Indian-inspired chickpea curry is a hearty vegetarian main dish rich with flavor and…"
"Tampa Coconut Cilantro Rice","The subtle sweetness of this basmati rice, cooked in coconut water and finished with…"
"Easy Masala Hash Browns","These quick and easy hash browns tossed in garam masala make an Indian-inspired potato…"
"Potato Chapati Bread","Use leftover mashed potatoes in this flavorful whole wheat flatbread."
"Easy Malai Kulfi","Kulfi is best described as Indian-style ice cream. However, unlike ice cream, kulfi is not…"
"Chettinad-Style Chicken","This peppery Indian chicken curry comes from the Chettinad region and features green chile…"
"Indian-Style Vegetable Rice","This is a standard Indian pilaf dish with a slight twist. The combination of colorful vegetables…"
"Besan Laddu","Chickpea flour, pistachios, and cashews make a delicious Indian sweet, commonly gifted…"
"Kiwi Raita","A slightly sweet, slightly tangy, cooling condiment that goes great with spicy Indian…"
"Beetroot Aloo Koora","The sweetness of the beets works great with potatoes and the spices in this dish best…"
"Kashmiri Garam Masala","A good friend of mine gave me her recipe for Kashmiri Garam Masala some years ago. I am…"
"Hot Coffee Masala","This warming, spicy coffee drink contains interesting Asian spices, giving it a chai-like…"
"Indian Curry Couscous with Broccoli and Edamame","Edamame soy beans and broccoli are stir-fried with exotic Indian spices for a delicious…"
"Cauliflower and Potato Stir-Fry - East Indian Recipe","Cauliflower and potatoes are simmered with aromatic Indian-inspired spices for a quick…"
"Cucumber Carrot Salad (Raita)","This side dish consists of shredded cucumbers and carrots mixed in yogurt."
"Palak Paneer","Homemade paneer simmered in a fragrant, creamy spinach and tomato sauce makes this…"
"Quinoa Pilau","Quinoa is the star ingredient in this Indian-inspired side dish. Onion and ginger are…"
"Easy Indian Tomato Soup (Saar)","Just the thing for a cold wintry night. Here is a wonderfully easy recipe for traditional Indian…"
"Tangy Chicken with Pistachios and Fruit","A sweet and tangy mixture of chicken with peaches, apricots and pistachios. Indian curry…"
"Masala Spicy Tea","Masala tea is also known as chai, and this is an easy, authentic version of the drink, made…"
"Matar Pulao with Nuts","This Basmati rice pilaf with peas, cashews, and almonds is similar to the rice pilaf served in…"
"Indian Spiced Onions","Spicy onions just like the ones served in Indian restaurants as a side dish! Delicious served…"
"Grilled Italian Burgers","These burgers are stuffed with kalamata olives, capers, and feta cheese resulting in burgers…"
"Yummy Curd Rice","This yummy rice, seasoned with fresh ginger and garlic, curry leaves, and cinnamon, is an…"
"Chicken Roti From India","A fragrant home-made masala--an exotic spice mixture--will reward you with this hotly…"
"Sago Sabudana Khichdi","This Indian snack food made with sago is a traditional favorite, often enjoyed during…"
"Carrot Soup Indienne II","Dill weed is used in this highly seasoned vegetable soup which is pureed before cream…"
"Smoky Eggplant and Yogurt Salad","Pureed eggplant, yogurt, green onions and cilantro are mixed together and placed on a…"
"Sweet and Sour Chutney","Pungent and quite wonderful. Dates, tamarind extract, cumin, brown sugar and water are…"
"Egg Halwa","This halwa is a rich, Indian dessert of eggs and milk flavored with cardamom. Keep stirring or…"
"Lucy's Tomato and Peach Chutney","A sweet and spicy chutney made with tomatoes, peaches, apples, celery and onion that's very…"
"Tomato Rasam","Rasam is the chicken soup (I make it vegan) of South India and a must in every household. A…"
"Potatoes with Fresh Ginger and Chilies","Inspired by Indian dishes, potatoes acquire an exotic, zesty personality when cooked in a…"
"Keema Matar","This ground lamb curry is a combination of what I remember from a Patak's® recipe and other…"
"Mad's Peach-Curry Soup","The surprising combination of peaches and curry powder gives this innovative soup its…"
"Mixed Grill of Sausage, Chicken and Lamb With Tandoori Flavorings","The Indian-flavored main course uses one basic spice rub. Half is rubbed on the lamb chops,…"
"Crazy Spicy Chicken","Sweet mango adds a fruity taste to a chicken curry with tomatoes and warm…"
"Cranberry Curry Chicken","Cranberry sauce, curry powder, cubed apple, and raisins combine for a sweet, savory take…"
"Egg and Potato Curry","This flavor-packed recipe for hard-cooked eggs and potatoes in a spicy gravy makes a great…"
"Lentil Samosas","Baked samosas filled with lentils, yam, dried apricot, and coconut milk are a hearty and…"
"Vegetable Shepherd's Pie with Baked Beans","A unique combination of Indian flavors and baked beans replace the usual ground beef in…"
"Spicy Potato Noodles (Bataka Sev)","Chickpea flour and mashed potatoes get heat and flavor from fresh green chiles, ginger,…"
"Tomato Onion Koora","Tomatoes, onions, and green chile peppers are the base of this quick and simple curry dish."
"Tamarind-Date Chutney","This sweet and sour chutney works well with anything."
"Roti Canai/Paratha (Indian Pancake)","Roti Canai, an Indian pancake, are easy to make at home using 6 simple ingredients; eat as a…"
"Khitchari","This bowl of split mung bean and basmati rice khitchari is a quick and easy meal to throw…"
"Mutton Varuval (Malaysian Indian-Style Goat Curry)","A showstopper dish at Diwali gatherings, this goat curry melds a myriad of spices evoking…"
"One-Pot Vegan Potato-Lentil Curry","This wonderful vegan one-pot curry contains red lentils, potatoes, tomatoes, and onions…"
"Chicken Thighs with Bok Choy and Farro","This low-calorie, spicy, citrusy chicken recipe combines farro and chicken thighs with bok…"
"Slow Cooker Vegetarian Curry","This wonderfully aromatic vegetarian curry recipe is made easy in the slow cooker -…"
"Curry in a Hurry","This red lentil curry in a hurry is made in a multi-functional pressure cooker and is perfect for a…"
"Veggie Samosas","These vegetarian samosas made with a simple homemade dough pack plenty of heat with…"
"My Mango Lassi","Mango lassi is very rich and luxurious drink with yogurt and mangoes. It is the perfect summer…"
"Jackfruit Curry (Kathal Subzi)","This tomato-based Indian curry recipe uses meaty chunks of jackfruit to create a…"
"Tandoori Roasted Root Vegetable Stew","This colourful meal combines lentils, quinoa, zucchini, and tomatoes."
"Indian Chicken Marinade","This spicy yogurt-based chicken marinade with Indian spices like cinnamon and ginger keeps…"
"Indian Onion Dipping Sauce","Minced onion is mixed with lemon juice, paprika, and cayenne creating a copycat…"
"Slow-Cooked Chicken Biryani","Chicken breast is layered with basmati rice, yogurt, and loads of Indian spices in this…"
"Country Captain Chicken with Rice","Made with Madras curry, currants, and raisins, this recipe for country captain chicken with…"
"Creamy Indian Yogurt Soup","This is a quick Indian-style yogurt-based soup seasoned with coriander, cumin, and garam…"
"Instant Pot(R) Chicken Biryani","Thanks to the multicooker, this recipe saves time but still produces an mouthwatering…"
"Methi Murgh (Fenugreek Chicken)","Fenugreek fans will love this recipe for chicken using both fresh and dried fenugreek leaves…"
"Sundal","This traditional vegetarian dish from southern India is made with chickpeas, mango,…"
"Prawns Curry","This delicious curry dish with prawns uses rice flour and turmeric to coat the prawns which…"
"Gujarati Kadhi","Try this Indian yogurt-based dish over rice for a nice sweet-and-sour vegetarian meal."
"Rasgullas","These milk dumplings are cooked in a pressure cooker and served in a sweet cardamom syrup."
"Ada (Adai)","Try these crepe-like items for an Indian-style breakfast made with lentils and rice."
"Pesarattu","Pesarattu is a crepe-like flatbread made with a batter made of rice and lentils."
"Machhere Jhol (Bengali Fish Curry)","This delicate fish stew comes from the Bengal region of India."
"Pork Chops with Sweet Tomato Chutney","Everyday pork chops get a new lease on life when served with this zesty Bengali style…"
"Rob's Lamb Curry Pie","Make a savory lamb pot pie, scented with curry and spices, and top it with a curry-flavored…"
"Garam Masala","Make your own garam masala spice mixture to have ready for homemade Indian meals."
"Indian Stuffed Eggplant","Delicious, fried eggplant shells are stuffed with a spicy vindaloo eggplant and onion stuffing in…"
"Curried Green Bean Salad","This version of a cold bean salad is made with canned green beans, garlic, ginger, and curry…"
"Curry Vinaigrette Dressing","Curry vinaigrette dressing is a nice Indian-inspired addition to any salad. Refrigerate…"
"Indian-Inspired Cauliflower and Potato Casserole","Cauliflower and potatoes are baked in a creamy and spicy Indian-inspired curry sauce."
"Zucchini Soup with Curry Spices","Zucchini is simmered with curry spices for a nicely aromatic and light Indian-inspired soup."
"Broiled Chicken Breasts with Chutney-Lime Glaze and Broccoli Slaw","This convenient recipe makes getting two meal on the table a snap."
"Muscat Gosht (Lamb in Spicy Tomato Gravy)","This Indian recipe for mutton lets the meat stew in a spicy clarified butter and tomato gravy."
"Sweet Lentil Soup with Asparagus Tips","Lentils are simmered with roasted garlic and red bell pepper, carrot, onion, asparagus tips and…"
"Madras Tomato Chutney","This is a savory tomato chutney which has a lot of flavor and is GREAT with Samosas."
"Awadi Dahi Murg (Chicken in Yogurt Gravy)","Make your own yogurt-based curry-like sauce using a variety of spices."
"Eggless Mango Bread","This basic mango bread uses milk powder instead of eggs. Pureed mango, superfine…"
"Vegan Yogurt Sundae","This completely vegan yogurt sundae is easy to make with just a microwave, a fork, and a few…"
"Kesari Bhat","This is a traditional Indian sweet of saffron and semolina is prepared all over India. It is the…"
"Capsicum Zunka","In this traditional side dish of rural Western India, green bell peppers are sauteed with…"
"Bhel Puri","Puffed rice is folded into a spicy coconut and cilantro base for a savory Indian-inspired snack."
"Tandoori Chicken Burgers","Tandoori chicken burgers made with ginger paste, tandoori paste, and garam masala are a…"
"Eastern-Style Mulligatawny Soup","This spicy split pea soup is a great addition to any Indian-themed meal. It pairs well with…"
"Cucumber Raita with Mint","This soothing Indian yogurt condiment is excellent samosas or whatever you like to dip:…"
"Samosa Pot Pie","This pot pie is influenced by the samosa, using a puff pasty to top a baked casserole of…"
"Real Indian Mango Chutney","Make your own Indian-style mango chutney with dates and raisins. This recipe makes…"
"Lamb Meatballs Over Tandoori Naan","Tandoori naan bread is topped with homemade lamb meatballs, hearty tomato sauce, and…"
"Chocolate Chai Coffee Mix","This homemade mix will turn your cup of coffee into a delightfully chai-spiced treat."
"Indian Style Shrimp Fry","Shrimp flavored with a nice variety of Indian-inspired spices are pan-fried with onions,…"
"Rabri (Barley-Yogurt Drink)","Barley and fat-free yogurt combine in this drink from northern India."
"Hara Masala Murgh","This is a very flavorful and fresh-tasting recipe for chicken with fresh herbs. It is a welcome…"
"Khara Pongal","This classic south Indian lentil dish combines dried red chilies and fresh green chile peppers…"
"Anapakaya Paala Koora","This recipe for calabash can be served with rice for a nice vegetarian meal. You can also try it…"
"Egg Kulambu","Kulambu is a spicy stew from Tamil, India. The main flavors are from tamarind and jaggery…"
"Tomato Bhath (Tomato Rice)","Leftover rice and a homemade spice mixture called 'Masala Podi' are the key components…"
"Mixed Vegetable Pulao","This Indian rice dish is packed with vegetables for a quick and easy dinner option."
"Kheema Pulao","This is a sort of a lazy man's biryani. Basically you cook the kheema masala first and then…"
"Minty Mint Chutney","This mint chutney will give any dish a nice little kick thanks to the lemon juice, onion, and…"
"Gujarati Shrikhand","Shrikhand is a sweet strained yogurt dish from Gujarat made with cardamom, saffron, and…"
"Curried Celery","This curry-powered appetizer recipe delivers a new topping for raw celery by mixing apple…"
"Indian Chickpeas in Tea","This vegetarian chickpea recipe brings a little kick to an easy and very flavorful Indian dish…"
"Indian-Style Scrambled Eggs","Scrambled eggs get a hint of Indian-inspiration when curry powder and cumin are added to…"
"Easy Indian-Style Pumpkin Curry","This recipe from southern India for fresh pumpkin in a curry sauce is easy to prepare…"
"Chai Tea Ice Cream","If you like the Indian-style spiced tea, you will love this chai tea ice cream recipe."
"Veg Biryani","A traditional spiced rice dish with lots of vegetables makes a delicious side dish or…"
"Pressure Cooker Goat Curry","An electric pressure cooker cooks this tantalizing tomato-based goat curry seasoned…"
"Green Curry with Sweet Potato and Aubergine (Eggplant)","Sweet potatoes and eggplant are boiled in creamy coconut milk and seasoned with…"
"Kadai Chicken","Chicken breast is pan-fried in a thick, spicy tomato sauce in this pared-down recipe for…"
"Healthier and Tastier Tikka Masala","This nicely seasoned chicken tikka masala recipe, using leftover cooked chicken, is a…"
"Serena's Strawberry Lassi","This is an absolutely delicious, refreshing Indian yogurt drink with fresh strawberries. It is so…"
"Spiced Mango Lassi","Mango lassi is the queen of mango drinks; this quick and easy recipe features bright Indian…"
"Andrea's Dal for Instant Pot(R)","In India, dal means any number of dried pulses; it is also the name for a classic dish made…"
"Traditional Beef Samosas","Coriander, garam masala, and cumin are just a preview of the many spices that flavor these…"
"Instant Pot(R) Indian Chicken Curry","This quick and easy Indian chicken curry comes together faster than you would expect with…"
"Easy Chicken Madras Recipe","Instead of ordering take-out, try this easy Indian chicken curry recipe made with spicy Madras…"
"Vegetarian Matar Paneer","Matar paneer is a classic vegetarian Indian dish with paneer cheese, peas, tomatoes, and lots…"
"Slow Cooker Chicken Massaman Curry","This slow cooker chicken Massaman curry dish combines vegetables, coconut milk, peanut…"
"Indian Masala Chicken Wings","Marinate chicken wings ahead of time in a simple homemade masala paste for an…"
"Vegan Roasted Curry Cauliflower","If you like cauliflower, try this Indian-inspired vegan version of roasted cauliflower seasoned…"
"Snow on the Mountain (Lamb Curry)","Make this rich, savory Indian lamb curry with lamb shoulder and chunks of potato in a…"
"Indian Curried Spinach Dip","This recipe for curried spinach dip is very easy to make and full of the flavors of North Indian…"
"Vegetarian Palak Moong Dal","Indian dal is a classic, soup-like vegetarian comfort food with rich and spicy flavors from…"
"Palak Paneer Curry","Palak paneer is an Indian curry with soft cubes of cheese simmered in a mildly spiced…"
"Red Lentil Dal with Yogurt Raita","Red lentils and tons of vegetables simmer among spices in this quick dal brightened…"
"Kerala Chicken Curry","This family recipe for Indian chicken curry is from the Southern state of Kerala. A very…"
"Slow Cooker Chicken Jalfrezi","This Indian-inspired chicken jalfrezi recipe is a very simple chicken curry that comes out…"
