Title,Description
"Chicken Fajita Marinade","This easy to make marinade will give your chicken just the flavor you're looking for next…"
"Chicken Kabobs Mexicana","Chicken and veggie skewers marinated in cilantro, lime, and cumin. Serve with rice,…"
"Chicken Tortilla Soup IV","Freshly fried strips of corn tortilla garnish this chicken, black bean and corn soup seasoned…"
"Aztec Casserole","You will need a siesta after eating this layered enchilada casserole featuring chicken with…"
"Turkey Enchiladas","Use canned enchilada sauce to reduce the preparation time in these turkey filled corn…"
"Green Chile Frittata","This rich recipe is great for either a brunch or breakfast. You can make this a day ahead if…"
"Slow Cooker Guisado Verde","An easy tomatillo and pork stew that is my boyfriend's favorite. Make it as spicy as you…"
"Beef Tamales","These are just like the tamales my Abuelita used to make for special occasions. This recipe…"
"Taco Seasoning II","A mixture of spices and a little cornstarch for thickening, that closely resembles The…"
"Healthier Slow-Cooker Chicken Tortilla Soup","This quick and easy chicken tortilla soup is made even healthier than the original by…"
"Enchilada Casserole II","This flavorful casserole, layered with a seasoned ground beef and tomato mixture, flour…"
"Spicy Fish Soup","Baby shrimp and cod fillets are cooked in chicken broth with green bell peppers,…"
"Quesadillas II","Fabulous recipe for all you Mexican food lovers. It is quick and easy! Serve with salsa and sour…"
"Mexican Cucumber Salad","Cool summer vegetables and warm spices make for a colorful, zesty salad!"
"Corn Dip II","This is a recipe my mother found a few years ago. Corn, cheese, and a little Mexican spice…"
"Potato and Bean Enchiladas","Vegetarian potato and pinto bean enchiladas smothered in tomatillo salsa and queso…"
"Cool Cucumber Salsa","A great way to use all those cucumbers you get from your plants! A little zing from the…"
"Beefy Spanish Rice","Dinner in one pot! Ground beef and rice are briefly sauteed with onion and bell pepper,…"
"Sour Cream Enchiladas","Sour cream and cream of chicken soup make a tasty sauce for these cheesy chicken enchiladas."
"Ranch Bean Dip","Packaged ranch-dressing mix discreetly perks up this bean and cheese puree."
"Corn Tortillas","This is the real thing! A simple mixture of masa harina and water results in the most…"
"Kris' Amazing Shredded Mexican Beef","My husband grew up in southern California, and he says this shredded Mexican beef is the best…"
"Cinnamon and Lime Chicken Fajitas","Potatoes and chicken breast meat flavored with warm and lively seasonings are the fixings for…"
"Chicken Tinga Tostados","This authentic Mexican recipe I picked up while living in Mexico. It has a spicy, smoky flavor…"
"Beef Enchiladas I","Baked corn tortillas filled with sauteed beef, onion and chile peppers, topped with tomato…"
"Real Chiles Rellenos","Chiles rellenos, that classic Mexican dish of cheese-stuffed fried peppers, is made from…"
"Easy Never Forgotten Guacamole","This guacamole has been a hit at our house for years. Great for the Superbowl or any…"
"Busy Night Turkey Taco Soup with Avocado Cream","Leftover cooked turkey is combined with salsa, corn, beans and cilantro in this quick soup…"
"Chile Relleno Casserole","This is a Mexican-style casserole made with hamburger and green chile peppers. It…"
"Soft Mahi Mahi Tacos with Ginger-Lime Dressing","A warm, flavorful dish filled with mahi-mahi, fresh fruit and an exotic ginger-lime dressing.…"
"Colorful Vegetable Fajitas","Eat your veggies! No problem doing that with these fabulous fajitas. Summer squash, red…"
"Black Bean Avocado Salsa","Black beans, avocado, corn, and roma tomatoes make the base of this salsa with a healthy…"
"Cheater's Enchiladas","This is what we call fast and delicious cooking. Tortillas are layered with sour cream, cheese…"
"Deep Fried Jalapeno Slices","These are addictively delicious. Spicy and sinful. Best if served with melted nacho cheese sauce."
"Quick Brownbag Burritos","These are quick enough to whip up anytime and are even good cold, which makes them great…"
"Mexican Quinoa","Use quinoa instead of rice to make a flavorful, spicy Mexican-style side dish that's light and…"
"Easy Taco Casserole","Ground beef mixed with salsa and onion is layered into a casserole with crushed tortilla…"
"Absolutely the Best Nacho Dip Ever","This attractive layered dip for tortilla chips is filled with fresh ingredients. The addition of…"
"Green Chili Stew","Beef, potatoes, tomatoes and onion seasoned with cumin, garlic salt, and green chiles."
"Quick and Easy Shrimp Fajitas","This is a twist on a classic recipe using shrimp instead of beef or chicken. I use regular old…"
"Mexican Pork Chops","Tender pork chops are cooked up Mexican-style with tomatoes, corn, beans, and rice."
"Southwestern Turkey Casserole","Use turkey leftovers to make this casserole baked with sour cream, green chilies, corn…"
"Salsa De Tomatillo","This is the 'salsa de tomatillo' that I grew up with. It can be used as a sauce for grilled…"
"Authentic Mexican Shrimp Cocktail (Coctel de Camarones estilo Mexicano)","A refreshing and authentic Mexican shrimp cocktail with plenty of spicy flavors makes a…"
"Spicy Avocado Chicken","A simple sauce of onion, avocado, and lime juice is served over pan-fried chicken breasts for a…"
"Lime Cilantro Cauliflower \"Rice\"","Grated cauliflower stands in for rice in this flavorful, grain-free side dish."
"Tomatillo Soup","This is a Mexican-style chicken soup with tomatillos and chicken breast meat cooked in…"
"Super Fajita Marinade","This is best when prepared a day ahead. Makes zesty flavorful fajitas every time. Great for beef…"
"Cilantro Tomato Corn Salad","Very quick and tasty sidedish that can be altered to taste, almost every ingredient except the…"
"Easy White Chicken Enchiladas","These white chicken enchiladas are a cinch to make with ingredients right off the shelf. The…"
"Mexican Turkey Burgers","Inspired by Mexican tortillas, American burgers, and delicious breadcrumb coatings, I created…"
"Healthy Mexican Chicken Bake","Chicken breasts are pan-fried and baked with salsa and cheese for a quick and healthier…"
"Easy Chicken Taquitos","Corn tortillas are tightly rolled around a cheesy chicken mixture and baked until crisp. Serve…"
"Ranch Chicken Tacos","Turn leftover rotisserie chicken into kid-friendly ranch chicken tacos. Corn tortillas are filled…"
"Pork and Green Chile Casserole","Boneless pork chops are cubed and combined with black beans, diced tomatoes, green…"
"Double Chili Cheese Dip","This is an easy appetizer that you can make at the last minute. I never have any leftovers.…"
"Picante Chicken Rice Burritos","Flour tortillas filled with a mildly spicy, cheesy, picante chicken and rice mixture, then topped…"
"Chiliquilla","This easy Mexican-inspired dish is simple to make and it has a beautiful in-the-pan…"
"Easy Creamy Chicken Enchiladas","This enchilada dish is sure to be a new family favorite; it is simple to put together and also…"
"Traditional Mexican Guacamole","This guacamole uses the traditional ingredients of avocado, lemon juice, cilantro, and onion.…"
"Chiles Rellenos (Stuffed Peppers)","This is a great traditional Mexican dish. It takes a little bit of time, but it is worth every minute!…"
"Pineapple Enchiladas","Flour tortillas are filled with pineapple, sour cream and Cheddar cheese, then smothered…"
"Frijoles a la Charra","This is a really tasty pinto beans recipe made in the slow cooker. This recipe is great to serve…"
"South Texas Carne Guisada","In this recipe, chunks of lean beef are simmered with fresh tomatoes, bell pepper, onion,…"
"Flan Mexicano (Mexican Flan)","A creamy, rich, orange-scented custard displays a golden syrupy topping of caramelized sugar…"
"Ken's Kickin' Posole","Pork and hominy simmer with roasted chiles and onions in a velvety red sauce in this…"
"Pinto Beans With Mexican-Style Seasonings","Hearty, flavorful pinto beans cooked with Mexican-style seasonings make a great side…"
"Taco Pies","Prepared pie crusts are baked briefly and packed with refried beans, browned ground…"
"Mexican Cornbread Salad","This layered salad is made with green chile cornbread, pinto beans, peppers, corn, bacon…"
"Anaheim Fish Tacos","Delicious halibut is cooked with an array of spicy flavors to make the perfect filling for tacos!"
"Tex-Mex Beef and Cheese Enchiladas","Cheese filled tortillas are covered with a spicy meat sauce and cheese before baking.…"
"Carne Guisada II","A Mexican beef stew smothered in a semi-spicy gravy. Simple to make, but tastes wonderful. …"
"Flan II","Caramelized sugar, milk and eggs -- a sweet and simple baked custard."
"Mexican Rice","Ground beef, rice, onion, green pepper and fresh corn are simmered in a spicy tomato and beef…"
"Guacamole Cilantro Lime Cheeseburger","Melted Monterey Jack cheese lends an added zing to these spiced up hamburgers. A dollop…"
"Linnie's Spanish Rice","The best and easiest Spanish rice!"
"Mexican Bean Burgers","These burgers can be baked, grilled, or fried. Great served on a bun with avocado, lettuce,…"
"Southwestern Black Bean Stew","Browned ground beef seasoned with a package of taco seasoning mix is combined with whole…"
"Spicy Southwestern Slaw","This is a spicy, flavorful coleslaw speckled with diced jalapenos, red bell pepper and cilantro."
"Cheesy Onion Roll-Ups","These attractive rolled tortilla bites always go over great at parties! A cheese, sour cream…"
"Vegetarian Black Bean Enchiladas","Flour tortillas are filled with creamy vegetarian refried black beans and baked with a…"
"Beef Enchiladas with Spicy Red Sauce","Ground beef enchiladas in flour tortillas topped with spicy red sauce, cheese and fresh…"
"Vegan Fajitas","Zucchini, yellow squash, bell peppers and onion are marinated and then sauteed. Serve with…"
"Spanish Rice","Very easy, very good Spanish rice!"
"Mijo's Slow Cooker Shredded Beef","Chuck roast, piquant seasonings, liquid smoke, and beer or cola are combined in a slow…"
"Poblano Chicken Enchilada Casserole","I've begun making my enchiladas casserole style, which saves a lot time, not to mention…"
"Rich Mexican Corn","This recipe came from my step-mom in Dallas, Texas. They like it hot so they put in a few…"
"Authentic Huevos Rancheros","This is an easy to make tostada-type breakfast that will definitely satisfy your hunger until…"
"Bean Burrito Casserole","I usually keep frozen burritos stocked in my freezer just for this recipe. It's so quick and…"
"Vegetarian Refried Beans","This is a traditional vegetarian refried bean recipe that tastes great with hardly any fat! …"
"Double Crust Bean Pie","Black beans, cheese, bell peppers, onion and spices baked between 2 pie crusts."
"Barbacoa-Style Shredded Beef","In this Chipotle(R) copycat recipe, beef is slow-cooked barbacoa-style - with garlic, lime, and…"
"Creamy Chicken Enchiladas Verde","Enjoy the dining out experience at home with this restaurant-inspired recipe."
"Simple Mexican Rice","A very simple tomato Mexican rice recipe. I can have this in the oven and cooking in one set of…"
"Shrimp Tacos","I got the idea for these shrimp tacos from a favorite restaurant. The shrimp is sauteed in…"
"Becca's Taco Soup","Taco ingredients such as browned ground beef, onion, corn, kidney beans and a package of…"
"Pan de Muertos (Mexican Bread of the Dead)","This sweet yeast bread, or pan dulce, is baked for the November 2 celebration known as the…"
"Southwestern Chicken Lasagna","Spaghetti sauce in the mix gives a nod to the Italian origins of this layered casserole, in…"
"Taco Dip","We love refried beans and this dip has lots. Said beans are spread into a pan, then slathered…"
"Black Bean and Rice Enchiladas","These vegetarian black bean and rice enchiladas are just as satisfying as those served in…"
"Karen's Slow Cooker Chicken Fajitas","Getting delicious chicken fajitas on the table is a breeze using a slow cooker; and clean up…"
"Spicy Shredded Beef","Browned, cubed beef is simmered with diced tomatoes, cumin, and garlic, then shredded.…"
"White Cheese Sauce","This is an awesome Monterey Jack sauce that goes great over chicken enchiladas, or used as…"
"Mexican Salad","The dressing of olive oil, lime juice and honey is a nice addition to this traditional…"
"Salsa Cube Steaks","These steaks are baked for 30 to 40 minutes in salsa along with green pepper and onions,…"
"Taco Salad II","Envision a thick taco brimming with chopped tomatoes, ground beef, lettuce, and lots of…"
"Chili Relleno Casserole","Canned green chiles and lots of shredded cheese bake up into a meltingly good, easy…"
"Cilantro Chicken and Rice","Chicken, beans, corn, and rice are cooked together in a tomato-based sauce flavored…"
"Vegetarian Burrito Casserole","Soy burger-style crumbles, tomatoes, rice, vegetarian refried beans, cheese, and taco…"
"Corn Tortilla Chips","Here's a simple recipe for making corn tortilla chips spiced only with salt. The chips may…"
"Migas II","This was my husband's favorite breakfast growing up in a Mexican household. Now we…"
"Roasted Tomatillo and Garlic Salsa","Tomatillos, lots of garlic and spicy jalapenos charred under the broiler give this salsa a rich,…"
"Fideo (Mexican Spaghetti)","A very unusual but very delicious pasta dish. My Mexican grandfather used to make it and I…"
"Super Nachos","These are definitely super nachos with a layering of ground beef, refried beans,…"
"Breakfast Burritos","A different way to start your day. Burritos with fried eggs, bacon and refried beans topped…"
"Tex Mex Black Bean Dip","Traditionally Southwestern flavors like cumin and cilantro lend a distinctive note to this…"
"Monterey Jack Salsa","A totally unique salsa that's great with tortilla chips, and keeps for several days. This salsa…"
"Chili Casserole","Red taco sauce is used in this casserole of browned ground beef combined with celery,…"
"Chili Cheese Dip III","This quick, easy chili cheese dip is a little different from most, and is sure to be a favorite!"
"Taco Soup III","Browned ground beef is combined with packets of ranch dressing mix and taco seasoning in…"
"Taco Rice","This tasty rice great addition to tacos either on the inside or out. My fiance raves over this…"
"Chile Colorado","I like to make this chile for my Mexican husband, who also doesn't like tomatoes in his chile. …"
"Chilaquiles II","Fried tortilla chips are cooked with eggs, salsa, and cheese. Don't wait to try this Mexican…"
"Garden Tomato Salsa","A fresh, easy way to use up your garden tomatoes. Mix and match different varieties of…"
"Corn Dip","This is a cool, refreshing dip that can be served anytime. Serve with chips, crackers or sliced…"
"Shrimp Salsa","Salad shrimp, tomatoes, onion, cilantro, and lime juice combine for an tasty version of…"
"Shrimp Quesadillas","These spicy quesadillas are filled with shrimp, onions, bell peppers, and melted Mexican…"
"Jalapeno Hot Sauce","Jalapenos, garlic and onion sauteed and pureed into fresh homemade hot sauce."
"Easy Enchilada Casserole","No stuffing or rolling necessary to make these enchiladas. Just mix together shredded…"
"Ground Turkey Taco Meat","Ground turkey is seasoned with chili powder, cumin, paprika, and cayenne in this easy…"
"Spicy Lime-Cilantro Marinated Flank Steak","Flank steak is grilled after having spent the night in a fresh and spicy marinade. The marinade…"
"1-Dish Taco Bake","Here's a one-dish family pleaser with all your favorite Mexican ingredients--salsa, cheese,…"
"Cheese Enchiladas","These enchiladas are filled with Cheddar cheese, onion, olives and mushrooms. Use…"
"Southwest Chicken Bake","Flavorful and juicy chicken pieces bake with layers of salsa, black beans, and brown rice…"
"Chicken Enchiladas IV","Chicken, sour cream, cheese and green onions spiced with cumin and flavored with fresh…"
"Carrot Chile and Cilantro Soup","This delicious soup combines carrots and potatoes with garlic, cilantro and chile paste…"
"Acapulco Margarita Grouper","Sea bass or any firm-fleshed fish may be used if grouper is not available. The grilled fish and…"
"Chicken Taquitos","Smoked cheese and green salsa give these crispy chicken taquitos that extra yum!"
"Spicy Corn Dip","A can of Mexican-style corn adds texture, taste and color to this standard Southwestern dip."
"Pressure Cooker Carnitas","Cubes of pork shoulder meat are browned, then cooked in a pressure cooker with poblano,…"
"Sweet Pork for Burritos","This rich, sweet, and tangy pork recipe cooks up easily in the slow cooker. Serve it with rice…"
"Double Decker Tacos","Like the ones you get at that famous taco place, only homemade. A soft flour tortilla, spread…"
"Mexican Mole Sauce","Whip up this quick mole sauce with ingredients you have in the cupboard. Serve it over…"
"Picante Chicken","Just simmer chicken breasts in your favorite salsa for an easy, zesty entree."
"Carne Adovada","This is a wonderful, melt in your mouth recipe for Carne Adovada. My family absolutely loves…"
"Fat Free Refried Beans","Need to make a quick meal or snack? Refried black beans are easy and delicious!"
"Texas Coleslaw","Coleslaw with Southwestern twist! Tangy with lime juice, cayenne and cumin, and bursting…"
"Pressure Cooker Chili","Chili cooked in a pressure cooker is fast, and the spices and unsweetened cocoa give it a rich…"
"Easy and Delicious Mexican Pork Chops","Pork chops bake up tender in a bed of Mexican-style rice for a dinner you can fix anytime with…"
"Drip Beef Sandwiches","This recipe makes tender, wonderfully flavored meat that is great for sandwiches. I also like to…"
"Chicken Enchilada Soup I","This enchiladas-inspired soup is made with corn tortilla-thickened chicken broth, cans of red…"
"Salsa Cheese Boule Dip","Cheddar, sour cream and cream cheese melt to a luscious dipping consistency in this spicy,…"
"Santa Fe Rice Salad","This flavorful salad is composed of black beans, rice, fresh tomatoes, Cheddar cheese and…"
"Paella","A traditional spiced dish made in a wok. The sausage, chicken and shrimp blend nicely…"
"Colorado Green Chili (Chile Verde)","Tender chunks of pork are stewed together with roasted green chiles in this classic stew."
"'Calabacitas Guisada' (Stewed Mexican Zucchini)","This classic comfort food consists of Mexican zucchini rounds simmered in stewed…"
"Sopa De Lima (Mexican Lime Soup)","This light and refreshing lime-accented chicken tortilla soup can be hot or mild, depending on…"
"Texas Enchilada Sauce","Crushed tomatoes, tomato sauce, onion, garlic, bell pepper and spices make this authentic…"
"Black Bean Lasagna","A delicious vegetarian lasagna using corn tortillas instead of lasagna noodles, layered…"
"Spicy South of the Border Spinach Cheese Dip","Good 'n' spicy. Not your typical spinach dip recipe. No artichokes, here! Serve this tasty…"
"Calabacitas con Elote (Zucchini with Corn)","This mixture of zucchini, corn, tomatoes, and poblano pepper can be served as a side dish…"
"Easy Authentic Mexican Rice","This Mexican rice is cooked with onion powder, garlic powder, and tomato sauce for an easy…"
"Latin-Inspired Spicy Cream Chicken Stew","Boneless chicken breasts simmer for hours in the slow cooker with green salsa, tomatoes,…"
"Mexican Lasagna I","Mexican seasonings and refried beans are added to this lasagna. You don't even have to…"
"Ceviche","This recipe is a staple in Mexico. Raw seafood is cooked by the lime juice! Now don't wrinkle…"
"Tres Leches III","A light sponge cake soaked with a mixture of three kinds of milk. This is the BEST Tres…"
"Corn and Avocado Salsa","Avocados and fresh corn from the cob cohabitate with red pepper flakes, red wine,…"
"Venison Fajitas","A homemade fajita seasoning nicely compliments the venison in these fajitas."
"Bananas Foster Chimichangas","These fried, sweet burrito-like bundles are stuffed with a tried-and-true mixture of…"
"Zucchilattas","Zucchini enchiladas are great way to enjoy fresh garden vegetables."
"My Favorite Mexican Rice","This one-skillet side dish is wonderfully spicy and cheesy. Serve it with your favorite…"
"Carne en su Jugo (Meat in its Juices)","Small pieces of flank steak are simmered with a tomatillo sauce and mixed with pinto beans…"
"Famous Taco Seasoning Mix","Avoid the pre-packaged taco seasoning mix by combining some spices from your pantry."
"Slow Cooker Chicken Tinga","Chicken and chorizo sausage are simmered in the slow cooker with plenty of spices and hot…"
"Real Texas Chili","Cubes of chuck roast are cooked in beef broth seasoned with garlic, cumin, chili powder and…"
"Black Bean and Artichoke Burritos","Sauteed sliced artichoke hearts provide a new twist on an old favorite. Cooked black beans…"
"Javi's Really Real Mexican Ceviche","This recipe is one of my family's favorites. It can be served as a meal or as an appetizer, as it is…"
"Southwestern Haystacks","Browned ground beef is combined with whole-kernel corn, tomatoes, kidney beans, and…"
"Homemade Chicken Enchiladas","These cheesy chicken enchiladas are great for the whole family."
"Sarah's Easy Shredded Chicken Taco Filling","Chicken breast meat simmers with just a couple of seasonings in tomato sauce for a…"
"Easy Spicy Mexican-American Chicken","Some like it hot, and if that's you, try this simple Mexican-inspired recipe for baked chicken…"
"Green Chili and Cheese Chicken","This is a super-easy weeknight recipe with Mexican flair. Server with Spanish rice, refried…"
"Asparagus and Goat Cheese Quesadillas","Easy and elegant quesadillas made with fresh asparagus and soft goat cheese. A royal…"
"Peanut Butter Quesadillas","What could be more simple than spreading peanut butter on a tortilla and heating it in…"
"Chorizo Breakfast Burritos","A yummy breakfast burrito of cooked, crumbled chorizo sausage with onions and scrambled…"
"Roast Beef Burritos","Sliced deli beef or cooked leftover roast beef mixed with onions, garlic, tomatoes, green…"
"Zeke's Tortilla Soup","An authentic, savory soup from the Mexican food capital of the world - El Paso Texas! You…"
"Southwestern Bake","This southwestern dish is great for parties or if you have a large family. Ground beef, black…"
"Flank Steak with Avocado Salsa","A spicy chili-flavored rub is used to add depth and complexity to grilled flank steak. Top with…"
"Pastel de Tres Leches (Three Milk Cake)","A sponge cake is soaked in a mixture of three kinds of milk and topped with whipped cream…"
"Cinco de Chili Chocolate Cupcakes with Chili Cream Cheese Frosting","First made for a chili cookoff, these dark chocolate cupcakes have the zing and deep,…"
"Queso Dip","Otherwise known as cheese dip, this is a great recipe for any get together. Cheddar cheese is…"
"Margarita Chicken II","Lime zest, lime juice, gold tequila and honey flavor the sauce for this dish. This is similar to…"
"Tres Leches 'Three Milks'","It is a delicious cake with a special syrup on it, and a meringue frosting. This cake requires…"
"Chicken Chilaquiles","This easy casserole is made with fresh chorizo, tortilla chips, chicken breast, and corn, then…"
"Slow Cooker Beef Barbacoa","This Mexican-style shredded beef is cooked in the slow cooker until very tender, then cooked…"
"Homemade Enchilada Sauce","Make your enchilada sauce at home with canned tomato sauce seasoned with cumin,…"
"Tacos De Matamoros","A staple dish in Matamoros, Mexico, this simple recipe starts with ground beef mixed with…"
"Vegan Mexican Stew","This vegan stew is absolutely excellent. A spicy hearty dish that is sure to make everyone…"
"Pancho Villa Baked Tilapia","Each fillet is individually seasoned with lime and fresh cilantro, and then wrapped in foil…"
"Grilled Chicken Quesadillas","This recipe is a delicious snap. The meat is coated with adobo seasoning, grilled, and cut…"
"Caldo De Res (Beef Soup)","This is a traditional Mexican beef and vegetable soup seasoned with cumin, cilantro and lime."
"Chicken Encilantrada","A sprightly sauce of cilantro and tomatillos (similar to green tomatoes) graces this simple…"
"Quick and Easy Taco Dip","This is a quick and easy taco dip that everyone is sure to love!! Better make a double batch,…"
"Tex-Mex Pork","Spicy shredded pork loin with onion and green chili peppers, seasoned Mexican style."
"Summer Vegetarian Chili","Throw summer's fresh vegetables into a pot and stew them up for an antioxidant-packed,…"
"Chiliville Chili","Steaming, succulent and savory. A robust and hearty classic that never goes out of style."
"Black Bean Cigars","I created this one night out of whatever I had on hand that I thought might taste good…"
"Quick and Easy 20-Minute Chicken Posole","Strips of chicken breast are simmered in chicken broth with green chiles, hominy and black…"
"Mexican Chocolate Cake","This is a moist chocolate cake with a hint of cinnamon. This recipe will make a large one…"
"Spicy Mexican Salad","This salad couldn't be easier to make; everything - lettuce, tomatoes, cheese, and…"
"Taco Soup I","Browned ground beef or turkey is combined with kidney beans, tomatoes, avocado and…"
"Sopapillas","This is a flat bread that is easy to prepare, and is usually served with something sweet to put…"
"Poor Man's Caviar","A colorful, light, and delicious concoction to serve with tortilla chips or pita bread.…"
"Best Football Dip Ever","This dip is made for 3 to 6 men, sitting together on a Sunday, enjoying football and eating…"
"Black Bean Huevos Rancheros","Layered with black beans along with fresh salsa and shredded Monterey Jack cheese, this is a…"
"Easy Slow Cooker Carne Guisada","Carne guisada is a hearty Mexican-style beef stew. It is excellent with tortillas or cornbread,…"
"Albondigas Soup II","In this version of the spicy Mexican soup, beef meatballs are cooked in a broth with carrots,…"
"Tortilla and Bean Soup","Boneless, skinless chicken meat is combined with pinto, black, kidney and ranch-style…"
"Buffalo Chicken and Ranch Wraps","Boneless skinless chicken breasts, cut into bite size pieces, cooked and covered in Buffalo…"
"Grilled Shrimp Tacos","Hot, grilled shrimp are dressed with a sauce made from Taco Ranch Dressing, and served…"
"Buffy's Refried Beans","These smooth and creamy beans make a tasty side for any Mexican dish."
"Pork Carnitas with Cilantro Tomatillo Sauce","Slow cooking blends the flavors."
"Spicy Chicken Enchiladas","Enchiladas filled with ground chicken and assorted additions. Bake topped with sauce…"
"Green Sauce Enchiladas","A little extra attention to the rice results in a particularly well-flavored enchilada with…"
"Margarita Cake with Key Lime Cream Cheese Frosting","A yummy cake with a margarita flavor and cream cheese frosting, this is fun for Cinco de…"
"Mexican Cookie Rings","This cookie is sure to win compliments and they don't take hours to make."
"Carne Asada Marinade","This simple garlic and olive oil rub is a great way to marinate beef steaks before grilling."
"Cilantro Serrano Cream Sauce","This quick sauce is great for chicken tacos and fish tacos. It's also great as a dip!"
"Chipotle Shrimp","This is a quick and easy dish of shrimp sauteed in a spicy sauce of butter, garlic,…"
"Mexican Egg Rolls","These are easy and delicious! Use them as an appetizer, or as a main dish. As an appetizer,…"
"Avocado Stuffed Yams","This is a simple and filling recipe. The cool and spicy avocado topping is a pleasant contrast…"
"Carnitas Filling","Pork shoulder is simmered with Mexican spices to make this shredded filling for tacos,…"
"Carol's King Ranch Casserole","Layers of boiled chicken, a creamy soup mixture with red bell pepper, diced tomatoes and…"
"Impossible Cake","Mexican caramel sauce, chocolate cake, and creamy flan bake in layers in this beautiful…"
"Cyndi's Shrimp Fajitas","Marinated shrimp, vegetables, and cheese enclosed in flour tortillas. I love making these…"
"Mashed Potato Quesadilla","I had something like this at a restaurant last night and I had to try to duplicate it at home!…"
"Chicken Enchiladas Suizas","'Suizas,' Spanish for Swiss, refers to the creamy white sauce that tops these chicken and green…"
"Chicken with Tomatillos and Poblanos","A spicy chicken dish with a tomatillo sauce, best served over rice and accompanied with beans…"
"Spicy Mexican Torte","This is a great recipe my husband loves to make - it's a whole meal in it self and very simple to…"
"Armadillo Eggs","Cheese-stuffed jalapeno peppers are stuffed inside cheesy, spicy biscuits!"
"Quesadilla Jalapeno Spread","A creamy blend of mayonnaise and jalapeno seasoned with cumin, cayenne pepper,…"
"Taco Bell(R) Seasoning Copycat","Make your tacos like your favorite Mexican chain restaurant does with this copycat taco…"
"G-ma's Rice","This is the recipe for my grandma's rice. Being Hispanic, this is about as Mexican as you can…"
"Across the Border Tequila Shrimp","I used to visit my friend Teresa in Brownsville, TX. We would cross the border to this open air…"
"Green Chili Chicken Burgers","Guacamole and salsa give a Southwestern flair to flavorful grilled chicken burgers."
"One - Two - Three - Mexican Macaroni Salad","Ole! Make it mild or make it zesty, you can have it your way. Always a hit and easy as can be."
"Jalapeno Popper Quesadillas","Jalapeno poppers in quesadilla-form are easy to make and don't involve frying in oil. Slice into…"
"Spicy Black Bean Salad","Black beans, corn, salsa, cilantro, and lime juice are combined to make a spicy and refreshing…"
"Chicken and Red Bean Enchiladas","With rotisserie, whole roasted chickens so readily available from carryout shops to…"
"Tuna Lime Tostadas","This refreshing recipe is great for a hot summer day! White albacore tuna, onion, and corn are…"
"Pork Chile Rojo (Pulled Pork with Red Chile Sauce)","The pork shoulder roast, sometimes labeled as Boston butt, is a rich and flavorful cut that…"
"Mexican White Sauce","This is the white sauce that you find in Mexican restaurants. Serve with tortilla chips."
"Quick and Easy Fish Tacos","Soft, warm corn tortillas are filled with crisp fish sticks and cabbage, and topped with tartar…"
"Casa Dressing","This tangy dressing is accentuated with lime and cilantro. It is a simple, refreshing topping for a…"
"Avocado Dip II","This is a wonderful, yet simple, guacamole recipe that was given to me by my friend…"
"Black Bean and Corn Pasta with Chicken","Great quick dinner, perfect for summer corn leftovers. Two ears of corn yield one cup of…"
"Four Seasons Enchiladas","Nice and spicy use for leftover turkey in a form that even the children will enjoy. Quick, too!…"
"Lazy Katie's Taco Salad","You do not need to be lazy to appreciate the simplicity of this quickly prepared meal.…"
"Mexican Style Dip","This Tex-Mex recipe was a big hit when brought it to work. My shift starts at 7 AM the dip was…"
"Wet Burrito","Big fat burritos stuffed with seasoned ground beef, beans, and cheese bake under a savory…"
"Mexican Lasagna Lite","Mexican-inspired light ingredients including refried beans, prepared enchilada sauce, sour…"
"Sonoran Tilapia","Seasoned tilapia fillets are covered with fresh cilantro and a squeeze of fresh lime and…"
"Cheesy Cornbread Casserole","This Mexican-style casserole tastes just like homemade tamales, with just a fraction of the…"
"Baja Stuffed Potatoes","My brother, Paul, invented these double stuffed potatoes for a barbecue we had in Mexico. …"
"Mexican Beans","Wonderful Mexican beans to serve as a side dish with your meal."
"Turkey Posole","An authentic rural Mexican dish usually prepared with pork, posole is traditionally…"
"Parker's Famous Margaritas","This is the signature drink at my in-law's home. My father-in-law developed a taste for…"
"Rum-Spiked Horchata","The Mayans and Aztecs called this creamy, rum and vanilla-flavored cocktail 'the drink of the…"
"Mexican Soup","Shredded chicken in a cumin-spiced soup with kidney beans, corn, tomatoes, red and green…"
"Mexican Casserole with Tortillas","Green chile peppers, leftover cubed chicken breast, creamy soups, milk, sour cream and…"
"Chipotle Cream Chicken","Tender chunks of chicken breast simmer in a savory, creamy sauce with a smoky chipotle…"
"Mexican Pumpkin Empanadas","Fat little Mexican-style pastries stuffed with sweet pumpkin filling make a great snack or a…"
"Honey-Lime Enchiladas","Spicy-sweet, cheesy chicken enchiladas are baked in a casserole and served hot."
"Southwest Breakfast Burritos","You'll never buy frozen breakfast burritos again! Loaded with sausage, eggs, and cheese, you…"
"Slow Cooker Cheesy Chicken and Tortillas","Slow cooking the chicken before shredding makes it especially tender and…"
"Mexican Strawberry Water (Agua de Fresa)","Fresh fruit waters, or Aguas de Frutas, made with crushed or blended fruit are a common…"
"Fresco Salsa","No cooking, no cans. All fresh ingredients and flavor no one will be able to walk away from!…"
"Italian Amaretto Margaritas","Amaretto gives this drink a fun twist! Frosty glasses rimmed with amaretto and sugar…"
"Southwest Black Bean Chicken Soup","This Southwest-inspired chicken soup is loaded with black beans, tomatoes, jalapeno…"
"Chicken and Mushroom Chimichangas","Packed with chicken, mushrooms, and poblano peppers, these chicken and mushroom…"
